team_id,player_id,player_name,position,minutes_played,goals_scored,minutes_per_goal
40,247,C. Gakpo,Attacker,1945,10,194.5
41,304317,T. Dibling,Midfielder,1872,2,936.0
41,20355,A. Ramsdale,Goalkeeper,2700,0,
41,270508,L. Ugochukwu,Midfielder,1663,1,1663.0
41,171,K. Walker-Peters,Defender,2922,0,
41,336585,Mateus Fernandes,Midfielder,2922,2,1461.0
41,665,M. Cornet,Attacker,71,0,
41,144729,T. Harwood-Bellis,Defender,2828,1,2828.0
41,18873,R. Fraser,Midfielder,307,0,
41,263177,A. Grønbæk,Midfielder,143,0,
41,130421,W. Smallbone,Midfielder,682,1,682.0
41,18918,C. Taylor,Defender,351,0,
41,18940,J. Stephens,Defender,1393,1,1393.0
41,19248,N. Wood-Gordon,Defender,774,0,
41,19719,J. Bree,Defender,1076,0,
41,19733,F. Downes,Midfielder,2156,1,2156.0
41,45078,R. Stewart,Attacker,385,1,385.0
41,295,A. Lallana,Midfielder,357,0,
41,284264,Juan Larios,Defender,0,0,
41,2999,J. Bednarek,Defender,2535,2,1267.5
41,199837,K. Sulemana,Attacker,1405,1,1405.0
41,105971,G. Bazunu,Goalkeeper,0,0,
41,15812,P. Onuachu,Forward,1067,4,266.8
42,1161,E. Smith Rowe,Midfielder,0,0,
42,1468,E. Nketiah,Attacker,0,0,
42,2273,Kepa,Goalkeeper,2790,0,
42,38746,J. Timber,Defender,2423,1,2423.0
42,19959,B. White,Defender,1213,0,
42,313245,M. Lewis-Skelly,Defender,1370,1,1370.0
42,22224,Gabriel Magalhães,Defender,2366,3,788.7
42,22090,W. Saliba,Defender,3042,2,1521.0
42,641,O. Zinchenko,Defender,542,0,
42,157052,R. Calafiori,Defender,984,2,492.0
42,2937,D. Rice,Midfielder,2833,4,708.2
42,41725,Fábio Vieira,Midfielder,0,0,
42,313236,E. Nwaneri,Midfielder,946,4,236.5
42,37127,M. Ødegaard,Midfielder,2331,3,777.0
42,47311,Mikel Merino,Midfielder,1581,7,225.9
42,727,R. Nelson,Attacker,2,0,
42,643,Gabriel Jesus,Attacker,603,3,201.0
42,1460,B. Saka,Attacker,1735,6,289.2
42,978,K. Havertz,Attacker,1875,9,208.3
42,127769,Gabriel Martinelli,Attacker,2298,8,287.2
42,402329,A. Heaven,Defender,0,0,
42,20355,A. Ramsdale,Goalkeeper,0,0,
42,645,R. Sterling,Attacker,496,0,
42,1117,K. Tierney,Defender,250,1,250.0
42,2597,T. Tomiyasu,Defender,16,0,
42,912,Neto,Goalkeeper,0,0,
42,2289,Jorginho,Midfielder,705,0,
45,162714,A. Onana,Midfielder,0,0,
45,138417,N. Patterson,Defender,343,0,
45,17661,J. Branthwaite,Defender,2510,0,
45,18758,S. Coleman,Defender,215,0,
45,2936,J. Tarkowski,Defender,2924,1,2924.0
45,2990,I. Gueye,Midfielder,3070,0,
45,895,J. Garner,Midfielder,1595,0,
45,284500,T. Iroegbunam,Midfielder,563,0,
45,18929,D. McNeil,Attacker,1376,4,344.0
45,18592,I. Ndiaye,Attacker,2441,9,271.2
45,330412,Youssef Chermiti,Attacker,41,0,
45,18766,D. Calvert-Lewin,Attacker,1629,3,543.0
45,138822,A. Broja,Attacker,331,0,
45,24882,O. Mangala,Midfielder,1262,1,1262.0
45,894,A. Young,Defender,1868,1,1868.0
45,18805,A. Doucouré,Midfielder,2577,3,859.0
45,15884,J. Lindstrøm,Midfielder,1241,0,
46,148099,K. Dewsbury-Hall,Midfielder,0,0,
46,1135,O. Édouard,Attacker,25,0,
46,311334,F. Buonanotte,Midfielder,1515,5,303.0
46,19760,J. Justin,Defender,2920,2,1460.0
46,15870,M. Hermansen,Goalkeeper,2386,0,
46,19004,B. De Cordova-Reid,Attacker,740,1,740.0
46,18741,C. Coady,Defender,1714,1,1714.0
46,283290,K. McAteer,Midfielder,851,1,851.0
46,152970,J. Stolarczyk,Goalkeeper,900,0,
46,18943,J. Vestergaard,Defender,1395,0,
46,152969,L. Thomas,Defender,1113,0,
46,8694,W. Faes,Defender,2811,1,2811.0
46,18771,Ricardo Pereira,Defender,392,0,
46,18779,H. Choudhury,Midfielder,130,0,
46,182,H. Winks,Midfielder,1539,0,
46,22233,B. Soumaré,Midfielder,2171,0,
46,303467,A. Fatawu,Attacker,575,0,
46,3428,J. Ayew,Attacker,1642,5,328.4
46,879,S. Mavididi,Attacker,1615,4,403.8
