fixture_id,league_id,season,round,home_attack,home_defense,away_attack,away_defense,home_goals_scored_lastN,home_goals_conceded_lastN,away_goals_scored_lastN,away_goals_conceded_lastN,home_days_since_last_match,away_days_since_last_match,home_goals,away_goals
867967,39,2022,3,1.1,1.3,1.3,1.2,0.37651515151515147,0.8085451505016722,0.5097435897435896,1.9985185185185184,4.791666666666667,7.104166666666667,3,1
867968,39,2022,3,0.9,1.5,1.0,1.8,0.4601851851851851,1.1250769230769229,0.355,0.5697530864197531,7.104166666666667,6.041666666666667,1,1
867969,39,2022,3,1.4,1.4,1.5,1.2,1.098809523809524,0.6592857142857143,1.8885521885521883,1.1833333333333331,7.0,6.895833333333333,3,2
877960,140,2022,2,1.0,1.1,0.8,1.4,1.792857142857143,0.9507575757575758,0.0,0.6895604395604397,7.854166666666667,6.0,2,0
867966,39,2022,3,1.0,1.9,2.3,1.1,1.5383333333333333,0.41852631578947364,1.0975845410628018,0.6951048951048949,7.104166666666667,7.104166666666667,0,3
881790,135,2022,2,1.1,1.1,1.6,0.8,1.6688311688311686,0.8986013986013984,1.235576923076923,1.1473214285714286,6.90625,6.0,0,0
881791,135,2022,2,1.2,1.3,1.3,1.6,1.9469696969696968,2.3257918552036196,0.0,0.6177884615384615,7.0,5.90625,0,0
877958,140,2022,2,1.0,1.1,1.2,1.1,0.0,0.0,1.7430555555555556,0.0,5.083333333333333,4.916666666666667,1,2
881792,135,2022,2,1.9,1.1,0.8,1.7,1.1271929824561404,1.2979797979797978,1.235576923076923,0.0,7.0,6.0,3,0
881793,135,2022,2,1.2,1.6,0.9,1.2,0.0,1.6062499999999995,1.2979797979797978,1.1271929824561404,5.0,7.0,1,0
877954,140,2022,2,1.1,1.4,2.0,0.9,1.2676767676767677,1.2806122448979593,0.7382352941176471,1.0726495726495726,7.208333333333333,6.0,1,4
867975,39,2022,3,1.1,1.4,1.9,1.4,0.0,0.8824285714285715,0.8832535885167464,0.43952380952380954,7.0,7.958333333333333,0,2
867970,39,2022,3,1.3,2.1,1.0,1.2,1.3490958164642373,1.0753306878306876,1.2000392156862745,0.4601851851851851,7.958333333333333,6.895833333333333,3,0
867973,39,2022,3,1.8,0.9,2.5,0.9,0.5697530864197531,0.0,0.9459548872180451,0.0,8.0625,8.0625,3,3
877952,140,2022,2,1.2,1.1,1.1,1.2,0.0,0.0,0.814935064935065,0.0,6.0,6.916666666666667,1,0
881795,135,2022,2,2.0,0.7,1.3,1.4,2.1416666666666666,4.079365079365079,0.8986013986013984,1.6688311688311686,6.0,7.90625,4,0
881794,135,2022,2,1.0,1.3,1.4,1.1,0.0,1.235576923076923,1.5297619047619047,2.5959595959595956,6.90625,7.0,0,0
877953,140,2022,2,1.8,0.9,1.6,1.1,1.7430555555555556,0.0,1.3841911764705883,0.0,6.0,8.020833333333334,0,2
881796,135,2022,2,1.7,1.3,1.7,1.1,0.7956656346749226,0.0,2.3257918552036196,1.9469696969696968,8.09375,8.09375,1,1
881797,135,2022,2,1.4,1.3,0.9,1.5,1.1473214285714286,1.235576923076923,4.079365079365079,2.1416666666666666,7.09375,6.09375,1,1
877957,140,2022,2,1.3,0.9,1.8,0.5,0.6895604395604397,0.0,0.0,0.0,7.1875,8.041666666666666,1,4
881798,135,2022,2,1.3,1.0,0.9,1.8,0.6177884615384615,0.0,2.5959595959595956,1.5297619047619047,7.90625,8.0,1,0
877961,140,2022,2,0.8,1.8,1.3,1.7,0.0,1.7430555555555556,1.0726495726495726,0.7382352941176471,6.9375,7.916666666666667,1,1
881799,135,2022,2,0.6,1.9,1.5,0.9,0.0,0.7956656346749226,1.6062499999999995,0.0,9.09375,7.0,0,0
867972,39,2022,3,1.5,1.1,2.0,1.2,0.43952380952380954,2.088102073365231,0.8504395604395604,1.4753246753246754,9.104166666666666,7.0,2,1
877959,140,2022,2,1.5,1.4,0.9,1.2,0.0,0.814935064935065,0.0,1.7430555555555556,8.104166666666666,7.104166666666667,3,1
881800,135,2022,3,1.3,1.4,1.2,1.3,0.584090909090909,1.7272402597402596,1.265530303030303,1.511764705882353,5.0,6.0,1,2
877970,140,2022,3,1.5,1.4,1.1,1.4,0.7320833333333333,0.8783189033189034,1.2676767676767677,1.4598979591836736,3.9166666666666665,5.916666666666667,0,1
881801,135,2022,3,1.6,0.8,1.9,1.1,0.8031249999999999,0.7457589285714287,1.1503998968008258,0.8436868686868686,6.09375,6.0,3,1
877963,140,2022,3,1.2,1.1,1.0,1.1,1.7985164141414143,0.3993181818181818,1.792857142857143,0.6179924242424243,6.104166666666667,6.1875,1,0
867984,39,2022,4,0.9,1.9,1.5,1.1,1.347556281771968,1.164489428699955,0.8379126984126986,1.583175438596491,6.895833333333333,4.6875,0,1
867982,39,2022,4,2.5,0.9,1.1,1.3,1.277537343358396,0.9203703703703704,1.3742803030303028,0.8196371880627732,5.9375,7.0,4,2
867981,39,2022,4,2.0,1.2,1.0,1.9,0.778694805194805,1.5111832611832612,0.9999166666666667,0.6132320366132723,4.791666666666667,6.895833333333333,9,0
867980,39,2022,4,1.0,1.2,1.3,1.8,0.7800254901960785,1.254889601139601,1.4221994233836337,1.370113258185722,6.041666666666667,7.0,2,1
867979,39,2022,4,1.9,1.4,1.3,2.1,0.947799043062201,0.2856904761904762,1.8326815114709847,0.6989649470899469,6.041666666666667,6.041666666666667,1,0
867978,39,2022,4,1.5,1.2,0.9,1.5,1.700892255892256,1.6566666666666663,0.6059104938271604,1.062633333333333,7.0,7.0,1,1
877964,140,2022,3,0.8,1.8,1.3,0.9,0.3229779411764706,1.3206997863247865,1.1239835164835166,1.084567901234568,4.895833333333333,5.8125,0,1
881802,135,2022,3,0.9,1.8,1.1,1.1,1.6873737373737372,1.1865460927960927,1.0847402597402596,0.584090909090909,5.0,7.0,1,2
881803,135,2022,3,1.5,0.9,1.3,1.0,1.0440624999999997,0.0,0.5937633547008545,0.0,4.90625,5.0,1,1
867976,39,2022,4,2.3,1.1,1.4,1.4,1.0546198830409357,0.45181818181818173,1.6017261904761904,0.9018690476190476,7.0,7.104166666666667,2,1
877971,140,2022,3,1.2,1.4,1.0,1.1,0.40671296296296294,0.0,0.3993181818181818,0.665530303030303,7.979166666666667,7.0,0,2
881805,135,2022,3,0.8,1.7,1.2,1.6,0.8031249999999999,0.41772445820433435,0.31232638888888886,1.0440624999999997,7.0,7.0,2,2
881804,135,2022,3,1.7,1.1,1.4,1.3,1.7152714932126696,1.5060383244206772,0.9599255952380954,1.187526709401709,6.0,6.0,2,0
877967,140,2022,3,1.3,1.7,1.2,1.4,0.8849358974358974,0.8028308823529413,0.8333110516934047,1.5139682539682542,5.083333333333333,8.0,2,1
867977,39,2022,4,1.3,1.2,1.1,1.4,0.6254161735700196,2.4285824915824916,0.0,0.9472627819548873,7.958333333333333,7.0,0,1
867985,39,2022,4,0.8,1.5,1.8,0.9,0.3571130952380952,0.7994074074074073,1.29070987654321,0.6626666666666666,8.0625,6.895833333333333,1,1
877965,140,2022,3,0.9,1.2,1.6,1.1,0.3486111111111111,1.8650694444444444,1.5097937091503266,0.0,5.8125,6.916666666666667,0,0
867983,39,2022,4,1.0,1.8,1.8,1.7,0.5620833333333333,0.6771296296296296,1.184890350877193,0.7721830065359476,8.0625,8.166666666666666,0,2
881806,135,2022,3,0.9,1.5,1.7,1.3,3.035989010989011,1.60625,0.757690683929074,0.2035067873303167,6.90625,6.90625,0,1
881807,135,2022,3,1.3,1.6,0.6,1.9,0.0,0.40156249999999993,0.0,0.5171826625386997,8.0,5.90625,4,0
877962,140,2022,3,1.8,0.5,0.9,1.7,1.084567901234568,0.6757692307692308,0.3486111111111111,1.115042892156863,6.895833333333333,8.895833333333334,4,0
881808,135,2022,3,1.4,1.1,2.0,0.7,0.9943452380952381,1.6873737373737372,2.0345833333333334,2.6515873015873015,7.09375,7.09375,0,0
881809,135,2022,3,0.9,1.2,1.0,1.3,0.8436868686868686,1.0450018274853803,0.0,0.8031249999999999,8.0,7.09375,1,1
877966,140,2022,3,1.4,1.8,2.0,0.9,0.8323979591836735,1.230702861952862,1.1073529411764707,1.1409090909090909,9.083333333333334,8.0,1,3
