fixture_id,league_id,season,round,home_team_id,away_team_id,home_attack,home_defense,away_attack,away_defense,home_goals_scored_lastN,home_goals_conceded_lastN,away_goals_scored_lastN,away_goals_conceded_lastN,home_days_since_last_match,away_days_since_last_match,home_motivation,away_motivation,is_knockout,home_goals,away_goals,home_attack_after,home_defense_after,away_attack_after,away_defense_after,home_goals_scored_lastN_after,home_goals_conceded_lastN_after,away_goals_scored_lastN_after,away_goals_conceded_lastN_after,home_motivation_raw,away_motivation_raw
826749,73,2022,1st Round,18317,7814,1.3,1.3,1.3,1.3,1.0,1.0,1.0,1.0,365.0,365.0,0.6152051331907447,0.6152051331907447,True,4.0,2.0,4.0,2.0,2.0,4.0,1.7751479289940828,0.8875739644970414,0.8875739644970414,1.7751479289940828,2.0,2.0
826722,73,2022,1st Round,7822,147,1.3,1.3,1.3,1.3,1.0,1.0,1.0,1.0,365.0,365.0,0.6152051331907447,0.6152051331907447,True,2.0,5.0,2.0,5.0,5.0,2.0,1.2679628064243447,3.169907016060862,3.169907016060862,1.2679628064243447,2.0,2.0
826759,73,2022,1st Round,10047,141,1.3,1.3,1.3,1.3,1.0,1.0,1.0,1.0,365.0,365.0,0.6152051331907447,0.6152051331907447,True,1.0,0.0,1.0,0.0,0.0,1.0,0.8136094674556212,0.0,0.0,0.8136094674556212,2.0,2.0
826755,73,2022,1st Round,7878,755,1.3,1.3,1.3,1.3,1.0,1.0,1.0,1.0,365.0,365.0,0.6152051331907447,0.6152051331907447,True,1.0,0.0,1.0,0.0,0.0,1.0,0.7560815253122944,0.0,0.0,0.7560815253122944,2.0,2.0
826734,73,2022,1st Round,9997,150,1.3,1.3,1.3,1.3,1.0,1.0,1.0,1.0,365.0,365.0,0.6152051331907447,0.6152051331907447,True,1.0,1.0,1.0,1.0,1.0,1.0,0.7100591715976331,0.7100591715976331,0.7100591715976331,0.7100591715976331,2.0,2.0
826748,73,2022,1st Round,2224,135,1.3,1.3,1.3,1.3,1.0,1.0,1.0,1.0,365.0,365.0,0.6152051331907447,0.6152051331907447,True,0.0,5.0,0.0,5.0,5.0,0.0,0.0,3.4965034965034962,3.4965034965034962,0.0,2.0,2.0
826745,73,2022,1st Round,10478,2208,1.3,1.3,1.3,1.3,1.0,1.0,1.0,1.0,365.0,365.0,0.6152051331907447,0.6152051331907447,True,2.0,2.0,2.0,2.0,2.0,2.0,1.5285996055226825,1.5285996055226825,1.5285996055226825,1.5285996055226825,2.0,2.0
826757,73,2022,1st Round,15617,143,1.3,1.3,1.3,1.3,1.0,1.0,1.0,1.0,365.0,365.0,0.6152051331907447,0.6152051331907447,True,2.0,0.0,2.0,0.0,0.0,2.0,1.5930814747382793,0.0,0.0,1.5930814747382793,2.0,2.0
826743,73,2022,1st Round,7782,140,1.3,1.3,1.3,1.3,1.0,1.0,1.0,1.0,365.0,365.0,0.6152051331907447,0.6152051331907447,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0
826753,73,2022,1st Round,10864,2214,1.3,1.3,1.3,1.3,1.0,1.0,1.0,1.0,365.0,365.0,0.6152051331907447,0.6152051331907447,True,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.7297830374753451,0.7297830374753451,0.0,2.0,2.0
826752,73,2022,1st Round,2209,126,1.3,1.3,1.3,1.3,1.0,1.0,1.0,1.0,365.0,365.0,0.6152051331907447,0.6152051331907447,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0
